datetime,open,high,low,close,tick_volume,spread,TARGET,fractals_high,fractals_low,RSI_14,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,MOM_14,CCI_14_0.015,EMA_4_ema4o,EMA_5_ema5c,TARGET_BUY,TARGET_SELL
2021-10-20 01:00:00,1768.8,1769.78,1768.8,1768.99,945,150,0.0,False,False,40.953774633768006,2.3347798569778173,4.600478882268368,-12.400000000000093,-74.94419503858087,1769.9540860230877,1770.0317074382408,0.0,0.0
2021-09-24 14:00:00,1756.08,1757.58,1749.45,1749.45,3917,140,-1.0,True,False,40.50296485998529,81.04604643055923,91.78879557843857,7.110000000000127,15.847694551187606,1755.0465147599664,1752.9957827657788,0.0,-1.0
2021-07-02 21:00:00,1787.94,1791.77,1787.93,1789.93,3476,140,-1.0,True,False,66.1430339967294,46.26771887563738,32.34498226718528,11.970000000000027,140.07804083020284,1785.0620027014995,1786.557021952517,0.0,-1.0
2021-09-08 12:00:00,1798.76,1799.3,1796.92,1796.94,2726,140,0.0,False,False,36.92716138475994,94.91704273832148,87.81467707697324,0.7400000000000091,34.21725239616099,1798.0530657789316,1797.6106331259784,0.0,0.0
2021-08-23 21:00:00,1804.26,1804.94,1803.93,1804.9,1089,140,0.0,False,False,77.25922299178266,85.78677295853724,89.77437347575682,17.320000000000164,86.25387605056582,1803.131392560916,1803.247087065581,0.0,0.0
2021-05-20 17:00:00,1877.04,1880.83,1875.92,1877.88,11250,140,0.0,False,False,57.58736488791952,82.87960255292948,61.58657284232303,6.170000000000073,145.20793985853535,1873.339424831274,1874.6058965307725,0.0,0.0
2021-05-20 21:00:00,1876.67,1877.23,1873.25,1874.47,5457,140,1.0,False,True,51.03596100197465,60.1897229379661,81.03371179845033,-0.9900000000000092,14.241130681205057,1878.237941458133,1876.729930178918,1.0,0.0
2021-04-21 08:00:00,1781.06,1785.69,1780.75,1784.71,4266,140,0.0,False,False,66.32827240394997,81.05185617585305,85.85164453936261,9.160000000000082,157.27981106932057,1781.0315206924338,1782.0893580509526,0.0,0.0
2021-11-01 18:00:00,1792.98,1792.99,1789.74,1791.92,3194,140,1.0,False,True,58.645827553838345,88.75104397367647,95.02468655859477,6.180000000000064,102.12644368784088,1791.8303132084598,1791.44969336722,1.0,0.0
2021-08-20 22:00:00,1782.67,1783.16,1781.96,1782.36,1495,140,0.0,False,False,47.187669095493256,18.077197485886916,27.675604214843403,-4.060000000000173,-60.42648205104548,1783.0135419332244,1782.832161424756,0.0,0.0
2021-09-21 23:00:00,1775.15,1775.32,1773.79,1774.19,1143,180,1.0,False,True,64.35990274917597,66.96364799582717,74.86938331386636,13.590000000000146,41.57451535191471,1775.4481333844944,1774.9118661260163,1.0,0.0
2021-05-19 09:00:00,1871.46,1873.91,1870.57,1872.98,6000,140,-1.0,True,False,63.67006610506428,75.29422063635438,56.42963646619824,8.1400000000001,224.9419866756267,1869.5183758769265,1870.5564114644185,0.0,-1.0
2021-05-04 20:00:00,1775.91,1779.49,1775.83,1778.39,6363,140,0.0,False,False,41.05735117467256,5.374920689077837,34.722100305052045,-11.289999999999964,-131.1232818334837,1781.4565868709096,1781.1042015363914,0.0,0.0
2021-08-31 15:00:00,1812.65,1813.99,1808.96,1809.49,5952,140,0.0,False,False,40.923150061240406,8.418560456347882,22.915451923985497,-0.5699999999999363,-127.01947028621032,1813.3411975830145,1812.1902154524305,0.0,0.0
2021-07-07 12:00:00,1804.39,1806.543,1803.25,1806.48,3778,140,0.0,False,False,61.52922914218352,95.79815977762262,94.78271199972176,9.740000000000007,130.204563623562,1803.5325065817613,1804.223436640281,0.0,0.0
2021-10-08 16:00:00,1775.84,1781.26,1769.36,1772.58,11738,140,-1.0,True,False,68.39044875760594,92.55705177773076,96.97856034318556,17.49000000000001,248.35820009202675,1766.2009344369771,1767.4579477603422,0.0,-1.0
2021-05-04 11:00:00,1786.9,1790.5,1785.8,1785.81,6283,140,-1.0,True,False,49.735150860017306,2.4136612204603165,1.6091074803069356,-6.220000000000027,-81.64638704226088,1787.3953011352628,1787.0649391421657,0.0,-1.0
2021-10-19 23:00:00,1770.12,1770.16,1768.33,1769.39,742,140,0.0,False,False,41.74441397846639,5.334787056304285,5.23610825409918,-9.339999999999918,-84.01549168168098,1770.723476705146,1770.5525611573612,0.0,0.0
