datetime,open,high,low,close,tick_volume,spread,TARGET,t_price,fractals_high,fractals_low,RSI_14,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,MOM_14,CCI_14_0.015,EMA_4_ema4o,EMA_5_ema5c
2019-08-05 10:00:00,1458.43,1458.61,1455.8,1456.39,7044,160,,,False,False,69.426073391326,92.25627823187926,96.74163309008686,9.490000000000009,115.92294823307688,1454.299238683998,1454.3847983479827
2019-08-05 11:00:00,1456.39,1458.76,1455.42,1457.27,6103,160,1.0,1455.42,False,False,70.23827914914867,87.79855312594003,93.01304729233671,14.36999999999989,98.49256416103273,1455.135543210399,1455.3465322319885
2019-08-05 12:00:00,1457.27,1458.97,1455.84,1456.78,6388,160,,,False,False,69.13693497545505,80.62388749360456,86.89290628380807,14.299999999999955,86.06388377283983,1455.9893259262394,1455.8243548213256
2019-08-05 13:00:00,1456.76,1461.83,1456.24,1458.29,4898,160,-1.0,1461.83,False,False,70.6635258528197,82.53538559225946,83.65260873726812,17.3599999999999,91.66657595186827,1456.2975955557436,1456.6462365475504
2019-08-05 14:00:00,1458.32,1461.18,1457.57,1459.87,6685,160,,,False,False,72.21234372059568,85.58473156098314,82.91466821561583,19.309999999999945,91.23232417434849,1457.106557333446,1457.7208243650336
2019-08-05 15:00:00,1459.88,1463.55,1458.89,1462.61,8931,160,,,False,False,74.7062692679658,92.75939719331863,86.95983811552053,24.74000000000001,110.48873226374788,1458.2159344000677,1459.350549576689
2019-08-05 16:00:00,1462.62,1466.02,1461.2,1464.42,10250,160,,,False,False,76.22429017511307,97.57593138197495,91.97335337875903,24.800000000000182,128.21378739436673,1459.9775606400406,1461.0403663844593
2019-08-05 17:00:00,1464.43,1469.64,1464.06,1466.17,11196,160,-1.0,1469.64,True,False,77.62264616886499,100.00000000000004,96.77844285843133,22.820000000000164,162.64568574864884,1461.7585363840244,1462.7502442563061
2019-08-05 18:00:00,1466.18,1466.6,1452.91,1463.44,13129,160,1.0,1452.91,False,True,70.64257194354434,77.19705806301148,91.59099648166227,14.289999999999964,60.56817967883301,1463.5271218304147,1462.9801628375374
2019-08-05 19:00:00,1463.43,1466.61,1462.37,1465.78,8650,160,,,False,False,72.89264507148769,59.786754822754745,78.99460429525554,14.799999999999955,114.81877282037665,1463.4882730982488,1463.9134418916915
